units,learning_rate,activation,batch_size,Score
32,0.0001,relu,32,8.364413261413574
24,0.0001,linear,32,8.508444786071777
32,1e-05,relu,32,8.565081596374512
24,1e-05,linear,32,8.76679515838623
48,0.0001,linear,8,8.78210163116455
48,1e-05,linear,16,8.785177230834961
16,0.0001,relu,32,8.824369430541992
8,0.0001,linear,8,8.836739540100098
24,0.0001,relu,64,8.864513397216797
40,1e-05,linear,64,8.877493858337402
40,1e-05,relu,64,8.896635055541992
40,0.001,linear,32,8.9286527633667
8,0.001,relu,8,8.940004348754883
32,1e-05,linear,8,8.94553279876709
24,0.0001,linear,8,8.967123031616211
16,0.001,linear,64,8.976040840148926
40,0.0001,relu,8,8.980168342590332
48,0.001,linear,8,8.991533279418945
16,0.0001,relu,64,8.991645812988281
32,0.001,linear,32,8.997401237487793
16,1e-05,relu,64,8.997461318969727
16,0.0001,linear,64,8.998441696166992
40,0.0001,relu,16,9.008305549621582
24,0.001,linear,16,9.01206111907959
24,0.001,linear,64,9.014054298400879
16,1e-05,linear,8,9.030256271362305
48,0.001,relu,16,9.037308692932129
8,0.0001,relu,64,9.058629989624023
64,0.001,relu,8,9.058780670166016
48,0.001,relu,64,9.066095352172852
16,1e-05,linear,64,9.071266174316406
40,0.01,linear,16,9.072041511535645
48,1e-05,linear,64,9.084171295166016
48,1e-05,linear,8,9.097576141357422
40,0.001,linear,64,9.098406791687012
24,1e-05,relu,64,9.099037170410156
32,0.0001,linear,16,9.109256744384766
56,0.01,relu,8,9.109518051147461
24,0.0001,relu,32,9.112295150756836
8,1e-05,relu,8,9.112430572509766
16,0.01,linear,8,9.123150825500488
16,1e-05,linear,16,9.127364158630371
64,0.001,linear,16,9.158246040344238
32,0.0001,linear,8,9.166316032409668
56,0.01,relu,32,9.175397872924805
40,1e-05,relu,8,9.178210258483887
24,1e-05,relu,8,9.17965316772461
48,1e-05,relu,64,9.181678771972656
40,1e-05,linear,8,9.187238693237305
16,0.001,relu,32,9.189537048339844
8,0.0001,linear,64,9.192342758178711
8,0.01,relu,8,9.194417953491211
8,1e-05,relu,16,9.19784164428711
40,0.0001,linear,32,9.199082374572754
64,0.0001,relu,16,9.202469825744629
24,0.0001,linear,16,9.218742370605469
48,0.0001,relu,32,9.226996421813965
56,0.0001,linear,16,9.230111122131348
40,0.0001,relu,64,9.244915008544922
48,1e-05,relu,32,9.246993064880371
56,1e-05,relu,64,9.254290580749512
56,0.001,linear,64,9.25722599029541
56,1e-05,linear,32,9.261404991149902
8,1e-05,linear,8,9.266124725341797
40,0.01,linear,8,9.271336555480957
8,0.01,linear,8,9.271671295166016
16,1e-05,relu,16,9.27204704284668
64,1e-05,linear,32,9.273346900939941
56,0.0001,relu,64,9.278030395507812
24,0.0001,relu,16,9.28515338897705
16,0.001,relu,8,9.28579044342041
16,1e-05,relu,32,9.28762149810791
64,0.0001,relu,32,9.289345741271973
48,0.0001,linear,64,9.29503059387207
16,0.0001,relu,16,9.299942970275879
40,0.001,relu,8,9.309694290161133
64,0.0001,linear,16,9.311127662658691
48,0.001,linear,64,9.31186580657959
48,0.01,linear,8,9.317604064941406
40,0.001,relu,64,9.330222129821777
32,0.0001,relu,8,9.333267211914062
32,0.0001,linear,32,9.343416213989258
24,1e-05,linear,16,9.35097885131836
16,1e-05,relu,8,9.352265357971191
8,0.0001,linear,16,9.357730865478516
64,0.001,linear,32,9.35855484008789
16,0.0001,linear,32,9.360448837280273
56,0.001,linear,16,9.372668266296387
8,1e-05,relu,32,9.382939338684082
16,0.001,linear,16,9.390581130981445
64,0.01,relu,64,9.39995288848877
64,0.001,relu,32,9.400140762329102
32,1e-05,relu,64,9.407423973083496
24,0.001,relu,64,9.408868789672852
8,0.01,relu,64,9.416566848754883
64,0.0001,linear,32,9.417707443237305
32,0.001,linear,16,9.417819023132324
64,0.0001,relu,64,9.420281410217285
48,0.01,relu,16,9.421995162963867
8,0.001,relu,64,9.422971725463867
56,0.001,linear,32,9.42801284790039
40,1e-05,relu,16,9.429253578186035
40,0.0001,relu,32,9.430033683776855
56,0.001,linear,8,9.432320594787598
56,1e-05,relu,8,9.441515922546387
64,0.0001,linear,64,9.444896697998047
56,0.0001,linear,32,9.448373794555664
32,0.001,relu,32,9.451078414916992
8,0.0001,relu,16,9.455199241638184
24,0.01,relu,32,9.455930709838867
8,0.01,linear,32,9.456038475036621
56,0.0001,relu,32,9.463468551635742
40,0.0001,linear,8,9.467227935791016
56,0.01,linear,8,9.471881866455078
16,0.001,linear,8,9.474603652954102
32,1e-05,relu,16,9.477988243103027
32,1e-05,linear,64,9.480237007141113
32,1e-05,relu,8,9.48501205444336
8,1e-05,linear,16,9.49172306060791
32,0.001,relu,8,9.499631881713867
48,1e-05,relu,16,9.5012845993042
16,0.001,linear,32,9.513540267944336
48,1e-05,linear,32,9.524585723876953
16,0.001,relu,16,9.525216102600098
8,0.01,relu,16,9.526268005371094
64,1e-05,relu,32,9.527235984802246
16,0.01,linear,32,9.52985954284668
64,0.001,relu,16,9.536169052124023
32,0.0001,relu,64,9.539262771606445
40,1e-05,relu,32,9.545409202575684
16,1e-05,linear,32,9.54845905303955
24,0.0001,linear,64,9.5595121383667
40,1e-05,linear,16,9.560700416564941
16,0.01,relu,64,9.563552856445312
48,0.0001,relu,16,9.56614875793457
32,0.001,relu,16,9.57097339630127
56,0.001,relu,8,9.571367263793945
48,0.001,relu,32,9.581477165222168
32,0.01,relu,8,9.585848808288574
48,0.01,linear,32,9.590373039245605
24,0.0001,relu,8,9.596565246582031
8,0.001,relu,16,9.597997665405273
48,0.01,relu,8,9.604512214660645
8,0.0001,relu,8,9.61691951751709
56,0.001,relu,16,9.621713638305664
16,0.001,relu,64,9.632612228393555
56,1e-05,linear,16,9.637749671936035
32,0.001,relu,64,9.637874603271484
16,0.01,linear,16,9.641576766967773
48,0.0001,relu,64,9.64195442199707
16,0.01,relu,16,9.645980834960938
40,0.01,linear,64,9.649765968322754
40,0.01,relu,16,9.653860092163086
32,0.01,relu,64,9.656159400939941
24,1e-05,relu,32,9.657772064208984
32,0.001,linear,64,9.665542602539062
56,0.0001,linear,8,9.672061920166016
24,0.001,relu,8,9.713679313659668
48,0.0001,linear,32,9.714435577392578
56,0.001,relu,64,9.714573860168457
64,0.01,relu,8,9.7218017578125
48,0.001,linear,32,9.72627067565918
24,0.001,linear,8,9.727277755737305
56,1e-05,linear,8,9.73387622833252
64,1e-05,linear,64,9.738607406616211
48,0.001,relu,8,9.746516227722168
64,0.001,relu,64,9.757752418518066
24,1e-05,linear,64,9.765899658203125
56,0.01,relu,16,9.777194023132324
24,0.001,linear,32,9.78930377960205
24,0.001,relu,16,9.803675651550293
8,1e-05,relu,64,9.809179306030273
56,0.0001,relu,16,9.814173698425293
64,0.01,linear,32,9.816208839416504
8,0.001,relu,32,9.816487312316895
48,0.01,linear,16,9.834860801696777
64,1e-05,relu,16,9.842337608337402
8,1e-05,linear,64,9.845087051391602
24,0.001,relu,32,9.855504035949707
48,0.01,relu,64,9.861706733703613
16,0.0001,relu,8,9.865503311157227
8,0.0001,linear,32,9.874056816101074
40,0.0001,linear,16,9.875967025756836
24,1e-05,linear,8,9.88747787475586
56,0.01,linear,16,9.910627365112305
24,0.01,linear,32,9.918289184570312
32,0.0001,linear,64,9.928187370300293
48,0.0001,linear,16,9.933076858520508
32,0.0001,relu,16,9.934633255004883
56,0.01,linear,32,9.936542510986328
64,0.01,linear,16,9.941632270812988
56,0.01,linear,64,9.94568920135498
64,1e-05,linear,16,9.949095726013184
64,0.01,linear,64,9.957259178161621
16,0.01,linear,64,9.960511207580566
40,0.01,relu,32,9.964570045471191
24,0.01,linear,16,9.965827941894531
64,0.01,linear,8,9.968047142028809
40,0.001,relu,16,9.985684394836426
56,0.01,relu,64,9.993568420410156
32,0.001,linear,8,9.994479179382324
64,1e-05,linear,8,9.995107650756836
16,0.01,relu,8,9.99973201751709
32,1e-05,linear,16,10.005399703979492
32,0.01,relu,32,10.012310028076172
24,0.01,linear,64,10.021529197692871
8,0.001,linear,32,10.024202346801758
24,0.01,linear,8,10.028614044189453
40,0.001,relu,32,10.03247356414795
32,0.01,relu,16,10.033459663391113
8,0.001,linear,8,10.034305572509766
48,0.0001,relu,8,10.036542892456055
40,0.001,linear,8,10.068625450134277
40,1e-05,linear,32,10.078521728515625
8,0.001,linear,64,10.106534004211426
24,0.01,relu,8,10.110214233398438
16,0.0001,linear,8,10.120850563049316
64,1e-05,relu,64,10.130945205688477
64,0.01,relu,32,10.135501861572266
56,0.001,relu,32,10.152486801147461
48,0.001,linear,16,10.175593376159668
56,0.0001,relu,8,10.216632843017578
64,0.001,linear,64,10.217283248901367
32,0.01,linear,32,10.219161987304688
24,0.01,relu,64,10.22128677368164
32,0.01,linear,64,10.226691246032715
40,0.01,linear,32,10.238033294677734
8,0.0001,relu,32,10.262340545654297
56,0.0001,linear,64,10.262895584106445
16,0.01,relu,32,10.268660545349121
40,0.001,linear,16,10.285609245300293
32,0.01,linear,8,10.299578666687012
24,0.01,relu,16,10.327169418334961
56,1e-05,relu,32,10.33640193939209
64,0.01,relu,16,10.341005325317383
8,0.01,linear,16,10.346541404724121
48,0.01,relu,32,10.348240852355957
64,0.0001,linear,8,10.357492446899414
16,0.0001,linear,16,10.359197616577148
56,1e-05,relu,16,10.376043319702148
8,0.01,linear,64,10.380600929260254
8,0.001,linear,16,10.412076950073242
8,1e-05,linear,32,10.442631721496582
56,1e-05,linear,64,10.462480545043945
32,1e-05,linear,32,10.471964836120605
64,0.0001,relu,8,10.500022888183594
40,0.01,relu,8,10.501188278198242
32,0.01,linear,16,10.511228561401367
40,0.01,relu,64,10.574248313903809
64,0.001,linear,8,10.715363502502441
8,0.01,relu,32,10.717812538146973
48,0.01,linear,64,10.842514038085938
24,1e-05,relu,16,11.190505027770996
64,1e-05,relu,8,11.241061210632324
48,1e-05,relu,8,11.409444808959961
40,0.0001,linear,64,11.500568389892578
