station_ID,id_at_source,available_data,source_URL,latitude,longitude,description,site_params
USGS_11341400,11341400,"{""conditions"": [""max_temp(C)"", ""min_temp(C)"", ""avg discharge (cfs)"", ""outflow(m3/d)""]}","{""url"": [""https://waterdata.usgs.gov/monitoring-location/11341400""]}",41.26654165,-122.311677,SACRAMENTO R NR MT SHASTA CA,{}
USGS_11482468,11482468,"{""conditions"": [""avg discharge (cfs)"", ""outflow(m3/d)""]}","{""url"": [""https://waterdata.usgs.gov/monitoring-location/11482468""]}",41.3220674,-124.0206264,LITTLE LOST MAN C A SITE NO 2 NR ORICK CA,{}
USGS_11482500,11482500,"{""conditions"": [""avg discharge (cfs)"", ""outflow(m3/d)""]}","{""url"": [""https://waterdata.usgs.gov/monitoring-location/11482500""]}",41.2992896,-124.0511825,REDWOOD C A ORICK CA,{}
USGS_11485000,11485000,"{""conditions"": [""max_temp(C)"", ""min_temp(C)"", ""avg_temp(C)""]}","{""url"": [""https://waterdata.usgs.gov/monitoring-location/11485000""]}",42.17319444,-121.618361,"LOST RIVER AT OLENE, OR",{}
USGS_11486990,11486990,"{""conditions"": [""avg discharge (cfs)"", ""outflow(m3/d)""]}","{""url"": [""https://waterdata.usgs.gov/monitoring-location/11486990""]}",42.1676459,-121.776391,"LOST R DIVERSION AT TINGLEY LN NR KLAMATH FALLS,OR",{}
USBR_AGA,AGA,"{""conditions"": [""wse(m)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=AGA&ui=true&interval=daily""]}",42.415,-122.77222222222224,"Agate Dam and Reservoir near Medford, OR",{}
USBR_ALNO,ALNO,{},"{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=ALNO&ui=true&interval=daily""]}",45.73361111111111,-119.20416666666668,"Allen Canal at Echo, OR",{}
USBR_ALPY,ALPY,"{""conditions"": [""outflow(m3/d)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=ALPY&ui=true&interval=daily""]}",43.19611111111111,-110.88944444444444,"Snake River above Reservoir near Alpine, WY",{}
USBR_ALTO,ALTO,{},"{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=ALTO&ui=true&interval=daily""]}",45.81361111111111,-119.35777777777776,"A-Line Canal (Terminus) nr Hermiston, OR",{}
USBR_AMF,AMF,"{""conditions"": [""wse(m)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=AMF&ui=true&interval=daily""]}",42.77916666666667,-112.87916666666666,"American Falls Reservoir at American Falls, ID",{}
USBR_AMFI,AMFI,"{""conditions"": [""outflow(m3/d)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=AMFI&ui=true&interval=daily""]}",42.76833333333333,-112.87833333333332,"Snake River at Neeley, ID",{}
USBR_ANCI,ANCI,{},"{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=ANCI&ui=true&interval=daily""]}",43.62222222222222,-111.66944444444444,"Anderson Canal near Ririe, ID",{}
USBR_AND,AND,"{""conditions"": [""storage(m3)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=AND&ui=true&interval=daily""]}",43.35833333333333,-115.44444444444444,Anderson Ranch Dam and Reservoir,{}
DART_ALF,ALF,"{""conditions"": [""outflow(m3/d)"", ""inflow(m3/d)"", ""spill(m3/d)"", ""avg_temp(C)"", ""wse(m)""]}","{""url"": [""https://www.cbr.washington.edu/dart/query/river_daily""]}",48.178294,-116.997745,Albeni Falls Forebay and Dam,{}
USBR_ANDI,ANDI,"{""conditions"": [""outflow(m3/d)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=ANDI&ui=true&interval=daily""]}",43.34166666666667,-115.47777777777777,South Fork Boise River at Anderson Ranch Dam,{}
USBR_ANTI,ANTI,"{""conditions"": [""outflow(m3/d)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=ANTI&ui=true&interval=daily""]}",43.96666666666667,-111.67222222222223,"Henrys Fork at St. Anthony, ID",{}
USBR_ANTO,ANTO,"{""conditions"": [""outflow(m3/d)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=ANTO&ui=true&interval=daily""]}",42.41111111111111,-122.74333333333334,Antelope Creek and Diversion at Dam,{}
USBR_ARK,ARK,"{""conditions"": [""storage(m3)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=ARK&ui=true&interval=daily""]}",43.611111111111114,-115.92194444444445,Arrowrock Dam and Reservoir,{}
USBR_ARNO,ARNO,{},"{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=ARNO&ui=true&interval=daily""]}",43.99444444444445,-121.37777777777777,Arnold Canal,{}
USBR_ASCI,ASCI,{},"{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=ASCI&ui=true&interval=daily""]}",43.28055555555555,-112.25694444444444,Aberdeen-Springfield Canal,{}
USBR_AUCI,AUCI,{},"{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=AUCI&ui=true&interval=daily""]}",43.975,-111.65,St. Anthony Union Canal,{}
USBR_BASO,BASO,"{""conditions"": [""outflow(m3/d)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=BASO&ui=true&interval=daily""]}",42.21611111111111,-122.72111111111111,"Bear Creek below Ashland Cr. at Ashland, OR",{}
USBR_BCAO,BCAO,"{""conditions"": [""outflow(m3/d)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=BCAO&ui=true&interval=daily""]}",42.19499999999999,-122.66861111111112,"Bear Creek above Ashland, OR",{}
USBR_BCMO,BCMO,"{""conditions"": [""outflow(m3/d)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=BCMO&ui=true&interval=daily""]}",42.42638888888889,-122.95694444444445,"Bear Creek at Mouth below Central Point, OR",{}
USBR_BCSO,BCSO,"{""conditions"": [""wse(m)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=BCSO&ui=true&interval=daily""]}",42.150555555555556,-122.39583333333334,Beaver Creek and Beaver Siphon at Howard Prairie Can,{}
USBR_BCTO,BCTO,"{""conditions"": [""outflow(m3/d)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=BCTO&ui=true&interval=daily""]}",42.25361111111111,-122.78888888888889,Bear Creek below Phoenix Diversion near Talent,{}
USBR_BDDI,BDDI,"{""conditions"": [""storage(m3)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=BDDI&ui=true&interval=daily""]}",43.53972222222222,-116.0936111111111,Boise River below Diversion Dam near Boise,{}
USBR_BENO,BENO,"{""conditions"": [""outflow(m3/d)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=BENO&ui=true&interval=daily""]}",43.930277777777775,-121.41083333333334,"Deschutes River at Benham Falls, OR",{}
USBR_BEU,BEU,"{""conditions"": [""storage(m3)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=BEU&ui=true&interval=daily""]}",43.91138888888889,-118.15722222222223,Agency Valley (Beulah) Dam and Reservoir,{}
USBR_BEUO,BEUO,"{""conditions"": [""outflow(m3/d)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=BEUO&ui=true&interval=daily""]}",43.90888888888889,-118.15222222222222,North Fork Malheur River at Beulah,{}
USBR_BFCI,BFCI,{},"{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=BFCI&ui=true&interval=daily""]}",43.32083333333334,-112.17194444444445,Blackfoot Canal,{}
USBR_BFKY,BFKY,"{""conditions"": [""outflow(m3/d)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=BFKY&ui=true&interval=daily""]}",43.838055555555556,-110.44111111111111,"Buffalo Fork above Lava Creek near Moran, WY",{}
USBR_BFTI,BFTI,"{""conditions"": [""outflow(m3/d)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=BFTI&ui=true&interval=daily""]}",43.125277777777775,-112.51833333333333,"Snake River near Blackfoot, ID",{}
USBR_BIGI,BIGI,"{""conditions"": [""outflow(m3/d)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=BIGI&ui=true&interval=daily""]}",43.66027777777778,-116.27833333333334,Boise River at Glenwood Bridge,{}
USBR_BILI,BILI,"{""conditions"": [""outflow(m3/d)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=BILI&ui=true&interval=daily""]}",42.83527777777778,-114.8938888888889,Billingsly Creek near Haggerman at Hwy 30,{}
USBR_BIRO,BIRO,"{""conditions"": [""outflow(m3/d)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=BIRO&ui=true&interval=daily""]}",45.65138888888889,-118.8775,"Birch Creek near Reith, OR",{}
USBR_BJBO,BJBO,"{""conditions"": [""outflow(m3/d)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=BJBO&ui=true&interval=daily""]}",42.33166666666667,-122.86944444444444,"Bear Creek at Jackson St. Bridge, Medford, OR",{}
USBR_BKPI,BKPI,{},"{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=BKPI&ui=true&interval=daily""]}",43.86361111111111,-111.25444444444445,Boelky Pump,{}
USBR_BMCI,BMCI,{},"{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=BMCI&ui=true&interval=daily""]}",43.74583333333334,-112.10277777777777,Butte and Market Lake Canal,{}
USBR_BOOI,BOOI,{},"{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=BOOI&ui=true&interval=daily""]}",43.65416666666667,-111.7775,Rudy Canal,{}
USBR_BPPI,BPPI,{},"{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=BPPI&ui=true&interval=daily""]}",43.919444444444444,-111.45944444444444,Bob Parkinson Pump,{}
USBR_BRFI,BRFI,"{""conditions"": [""outflow(m3/d)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=BRFI&ui=true&interval=daily""]}",43.49583333333334,-115.30749999999999,South Fork Boise River near Featherville,{}
USBR_BSEI,BSEI,{},"{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=BSEI&ui=true&interval=daily""]}",43.54944444444444,-116.10916666666667,New York Canal Diversion from Boise River,{}
USBR_BTSI,BTSI,"{""conditions"": [""outflow(m3/d)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=BTSI&ui=true&interval=daily""]}",43.65861111111111,-115.72722222222222,"Boise River near Twin Springs, Idaho",{}
USBR_BUL,BUL,"{""conditions"": [""outflow(m3/d)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=BUL&ui=true&interval=daily""]}",44.03055555555555,-117.41250000000001,"Bully Creek Dam and Reservoir near Vale, OR",{}
USBR_BUM,BUM,"{""conditions"": [""wse(m)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=BUM&ui=true&interval=daily""]}",46.868611111111115,-121.29888888888888,BUMPING RESERVOIR RIVER AND WEATHER STATION,{}
USBR_BURI,BURI,{},"{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=BURI&ui=true&interval=daily""]}",43.65611111111111,-111.7825,"Burgess Canal near Ririe, ID",{}
USBR_CACO,CACO,{},"{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=CACO&ui=true&interval=daily""]}",42.40555555555555,-122.26805555555555,Cascade Canal near Fish Lake,{}
USBR_CBCI,CBCI,{},"{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=CBCI&ui=true&interval=daily""]}",43.25333333333333,-112.27166666666666,Corbett Canal,{}
USBR_CCL,CCL,"{""conditions"": [""wse(m)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=CCL&ui=true&interval=daily""]}",48.5575,-119.7461111111111,"Salmon Lake Dam and Conconully Lake nr Conconully,WA",{}
USBR_CCPI,CCPI,{},"{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=CCPI&ui=true&interval=daily""]}",43.90333333333333,-111.53805555555556,Canyon Creek Lateral Pump,{}
USBR_CCR,CCR,"{""conditions"": [""wse(m)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=CCR&ui=true&interval=daily""]}",48.53805555555555,-119.74722222222222,"Conconully Dam and Reservoir near Conconully, WA",{}
USBR_CECI,CECI,{},"{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=CECI&ui=true&interval=daily""]}",43.65694444444444,-111.78333333333333,Clark and Edwards Canal,{}
USBR_CENO,CENO,{},"{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=CENO&ui=true&interval=daily""]}",44.030277777777776,-121.29472222222222,Central Oregon Canal,{}
USBR_CFCI,CFCI,{},"{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=CFCI&ui=true&interval=daily""]}",43.94,-111.7275,Consolidated Farmers Weir,{}
USBR_CFMM,CFMM,"{""conditions"": [""outflow(m3/d)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=CFMM&ui=true&interval=daily""]}",48.36194444444445,-114.18388888888889,"Flathead River at Columbia Falls, MT",{}
USBR_CHEI,CHEI,"{""conditions"": [""outflow(m3/d)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=CHEI&ui=true&interval=daily""]}",44.01833333333333,-111.56666666666666,"Falls River near Chester, ID",{}
USBR_CIBW,CIBW,"{""conditions"": [""min_temp(C)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=CIBW&ui=true&interval=daily""]}",48.97138888888889,-117.64694444444446,Columbia River at International Boundary,{}
USBR_CLE,CLE,"{""conditions"": [""inflow(m3/d)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=CLE&ui=true&interval=daily""]}",47.245555555555555,-121.07333333333332,"CLE ELUM RESERVOIR,RIVER AND WEATHER STATION",{}
USBR_CLS,CLS,"{""conditions"": [""wse(m)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=CLS&ui=true&interval=daily""]}",45.86,-119.17083333333333,"Cold Springs Dam near Hermiston, OR",{}
USBR_CMO,CMO,"{""conditions"": [""inflow(m3/d)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=CMO&ui=true&interval=daily""]}",46.06111111111111,-114.23333333333333,"Lake Como near Hamilton, MT",{}
USBR_CRA,CRA,"{""conditions"": [""wse(m)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=CRA&ui=true&interval=daily""]}",43.75555555555555,-121.78333333333333,"Crane Prairie Reservoir nr. LaPine, OR",{}
USBR_CRAO,CRAO,"{""conditions"": [""outflow(m3/d)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=CRAO&ui=true&interval=daily""]}",43.75361111111111,-121.7825,"Deschutes River below Crane Prairie Res., OR",{}
USBR_CRCI,CRCI,{},"{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=CRCI&ui=true&interval=daily""]}",43.92055555555555,-111.61194444444443,Crosscut Canal at End,{}
USBR_CRCO,CRCO,{},"{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=CRCO&ui=true&interval=daily""]}",44.23888888888889,-120.8625,"Crooked River Feed Canal near Prineville, OR",{}
USBR_CRE,CRE,"{""conditions"": [""storage(m3)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=CRE&ui=true&interval=daily""]}",43.50138888888889,-121.97222222222223,"Crescent Lake near Crescent, OR",{}
USBR_CREO,CREO,"{""conditions"": [""outflow(m3/d)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=CREO&ui=true&interval=daily""]}",43.503055555555555,-121.97222222222223,"Crescent Creek at Crescent Lake, OR",{}
USBR_CRPO,CRPO,"{""conditions"": [""outflow(m3/d)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=CRPO&ui=true&interval=daily""]}",44.17916666666667,-120.58777777777777,"Crooked River above Prineville Reservoir, nr Post OR",{}
USBR_CRSO,CRSO,"{""conditions"": [""outflow(m3/d)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=CRSO&ui=true&interval=daily""]}",44.3675,-121.1388888888889,"Crooked Riv at Smith Rock St. Park nr Terrebonne, OR",{}
USBR_CSAO,CSAO,{},"{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=CSAO&ui=true&interval=daily""]}",45.85388888888889,-119.17194444444445,US A Line Canal at Cold Springs Res nr Hermiston OR,{}
USBR_CSC,CSC,"{""conditions"": [""storage(m3)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=CSC&ui=true&interval=daily""]}",44.525,-116.05,"Cascade Dam and Lake Cascade at Cascade, Idaho",{}
USBR_CSCI,CSCI,"{""conditions"": [""outflow(m3/d)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=CSCI&ui=true&interval=daily""]}",44.528888888888886,-116.04777777777778,"North Fork Payette River at Cascade, Idaho",{}
USBR_CSRO,CSRO,{},"{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=CSRO&ui=true&interval=daily""]}",45.86638888888889,-119.16722222222222,"Cold Springs Recharge Canal near Hermiston, OR",{}
USBR_CVPI,CVPI,{},"{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=CVPI&ui=true&interval=daily""]}",43.874722222222225,-111.24722222222222,Clementsville Pump,{}
USBR_CXCI,CXCI,{},"{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=CXCI&ui=true&interval=daily""]}",44.016666666666666,-111.58333333333333,"Crosscut Canal near Chester, ID",{}
USBR_CXMI,CXMI,{},"{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=CXMI&ui=true&interval=daily""]}",43.976111111111116,-111.60416666666666,Crosscut Middle Weir,{}
USBR_DCMO,DCMO,{},"{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=DCMO&ui=true&interval=daily""]}",44.06888888888889,-121.3125,Deschutes County MID Canal,{}
USBR_DEBO,DEBO,"{""conditions"": [""outflow(m3/d)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=DEBO&ui=true&interval=daily""]}",44.08305555555556,-121.30666666666666,"Deschutes River Below Bend, OR",{}
USBR_DED,DED,"{""conditions"": [""storage(m3)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=DED&ui=true&interval=daily""]}",44.31055555555555,-115.6613888888889,"Deadwood Dam, Idaho",{}
USBR_DEDI,DEDI,"{""conditions"": [""outflow(m3/d)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=DEDI&ui=true&interval=daily""]}",44.29611111111111,-115.64555555555556,Deadwood River below Deadwood Dam,{}
USBR_DICO,DICO,{},"{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=DICO&ui=true&interval=daily""]}",42.263888888888886,-122.44916666666667,"Dead Indian Collection Canal nr. Pinehurst, OR",{}
USBR_DLEO,DLEO,{},"{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=DLEO&ui=true&interval=daily""]}",45.76611111111111,-119.21611111111112,"Dillon Canal near Stanfield, OR",{}
USBR_DNCI,DNCI,{},"{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=DNCI&ui=true&interval=daily""]}",43.22083333333334,-112.35416666666666,Danskin Canal,{}
USBR_DRYI,DRYI,"{""conditions"": [""outflow(m3/d)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=DRYI&ui=true&interval=daily""]}",43.63916666666667,-111.71527777777779,"Dry Bed near Ririe, ID",{}
USBR_EASW,EASW,"{""conditions"": [""outflow(m3/d)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=EASW&ui=true&interval=daily""]}",47.23888888888889,-121.17777777777778,YAKIMA RIVER AT EASTON WA.,{}
USBR_EBCO,EBCO,"{""conditions"": [""outflow(m3/d)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=EBCO&ui=true&interval=daily""]}",45.48416666666667,-118.83444444444444,"East Birch Creek at Pilot Rock, OR",{}
USBR_EGCI,EGCI,{},"{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=EGCI&ui=true&interval=daily""]}",43.96527777777778,-111.68611111111112,Egin Canal,{}
USBR_EGSO,EGSO,"{""conditions"": [""outflow(m3/d)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=EGSO&ui=true&interval=daily""]}",42.12222222222222,-122.54638888888888,"Emigrant Creek Above Green Springs Powerplant, OR",{}
USBR_ELCI,ELCI,{},"{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=ELCI&ui=true&interval=daily""]}",43.60416666666667,-111.79777777777778,Eagle Rock Canal near Hwy 26,{}
USBR_EMI,EMI,"{""conditions"": [""outflow(m3/d)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=EMI&ui=true&interval=daily""]}",42.163888888888884,-122.60416666666666,"Emigrant Dam and Lake near Ashland, OR",{}
USBR_EMM,EMM,"{""conditions"": [""outflow(m3/d)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=EMM&ui=true&interval=daily""]}",43.93055555555555,-116.44166666666668,"Black Canyon Dam and Reservoir near Emmett, ID",{}
USBR_ENTI,ENTI,{},"{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=ENTI&ui=true&interval=daily""]}",43.63055555555555,-111.68472222222222,Enterprize Canal,{}
USBR_EPTO,EPTO,"{""conditions"": [""outflow(m3/d)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=EPTO&ui=true&interval=daily""]}",42.455555555555556,-122.82666666666667,"Antelope Creek near Eagle Point, OR",{}
USBR_ERCI,ERCI,{},"{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=ERCI&ui=true&interval=daily""]}",43.63055555555555,-111.6875,"Eagle Rock Canal near Heise, ID",{}
USBR_ETSI,ETSI,{},"{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=ETSI&ui=true&interval=daily""]}",43.925,-116.44027777777778,Emmett I.D. Southside Canal,{}
USBR_FALI,FALI,"{""conditions"": [""outflow(m3/d)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=FALI&ui=true&interval=daily""]}",44.06861111111112,-111.24027777777778,"Falls River near Squirrel, ID",{}
USBR_FARI,FARI,"{""conditions"": [""outflow(m3/d)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=FARI&ui=true&interval=daily""]}",43.973888888888894,-111.63805555555557,"Farmers Friend Canal near St. Anthony, ID",{}
USBR_FCEO,FCEO,{},"{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=FCEO&ui=true&interval=daily""]}",45.72944444444445,-119.17833333333334,"Umatilla Project Feed Canal near Echo, OR",{}
